GA,P_5,P_10,P_25,P_50,P_75,P_90,P_95
15,19.7223,20.3113,21.2131,22.1179,22.9421,23.6277,24.0162
16,21.7269,22.3758,23.3692,24.366,25.2739,26.0292,26.4572
17,23.7315,24.4403,25.5253,26.6141,27.6058,28.4307,28.8983
18,25.7361,26.5047,27.6814,28.8622,29.9376,30.8323,31.3393
19,27.7407,28.5692,29.8375,31.1103,32.2695,33.2338,33.7803
20,29.7453,30.6336,31.9936,33.3584,34.6013,35.6353,36.2213
21,31.7499,32.6981,34.1497,35.6065,36.9332,38.0368,38.6624
22,33.7545,34.7626,36.3058,37.8545,39.265,40.4384,41.1034
23,35.759,36.827,38.4619,40.1026,41.5969,42.8399,43.5444
24,37.7636,38.8915,40.6181,42.3507,43.9287,45.2414,45.9854
25,39.7682,40.9559,42.7742,44.5988,46.2606,47.643,48.4265
26,41.7728,43.0204,44.9303,46.8469,48.5924,50.0445,50.8675
27,43.7774,45.0849,47.0864,49.095,50.9243,52.446,53.3085
28,45.782,47.1493,49.2425,51.3431,53.2561,54.8476,55.7495
29,47.7866,49.2138,51.3986,53.5911,55.588,57.2491,58.1906
30,49.7912,51.2782,53.5547,55.8392,57.9198,59.6506,60.6316
31,51.7958,53.3427,55.7108,58.0873,60.2517,62.0522,63.0726
32,53.8004,55.4072,57.8669,60.3354,62.5835,64.4537,65.5136
33,55.805,57.4716,60.0231,62.5835,64.9154,66.8552,67.9547
34,57.8095,59.5361,62.1792,64.8316,67.2472,69.2568,70.3957
35,59.8141,61.6005,64.3353,67.0797,69.5791,71.6583,72.8367
36,61.8187,63.665,66.4914,69.3277,71.9109,74.0598,75.2777
37,63.8233,65.7295,68.6475,71.5758,74.2428,76.4614,77.7188
38,65.8279,67.7939,70.8036,73.8239,76.5746,78.8629,80.1598
39,67.8325,69.8584,72.9597,76.072,78.9065,81.2644,82.6008
40,69.8371,71.9228,75.1158,78.3201,81.2383,83.666,85.0418
