GA,P_5,P_10,P_25,P_50,P_75,P_90,P_95
15,123.5991,126.3335,130.676,135.2114,139.4856,143.1383,145.2455
16,132.0772,134.9992,139.6395,144.4861,149.0534,152.9567,155.2084
17,140.5553,143.6648,148.603,153.7607,158.6212,162.775,165.1714
18,149.0334,152.3305,157.5665,163.0353,168.189,172.5934,175.1343
19,157.5114,160.9961,166.5301,172.3099,177.7568,182.4118,185.0972
20,165.9895,169.6618,175.4936,181.5846,187.3246,192.2301,195.0601
21,174.4676,178.3275,184.4571,190.8592,196.8924,202.0485,205.023
22,182.9457,186.9931,193.4206,200.1338,206.4602,211.8668,214.9859
23,191.4238,195.6588,202.3842,209.4084,216.028,221.6852,224.9488
24,199.9019,204.3244,211.3477,218.6831,225.5958,231.5036,234.9117
25,208.38,212.9901,220.3112,227.9577,235.1636,241.3219,244.8746
26,216.8581,221.6558,229.2747,237.2323,244.7314,251.1403,254.8375
27,225.3362,230.3214,238.2382,246.507,254.2993,260.9586,264.8004
28,233.8143,238.9871,247.2018,255.7816,263.8671,270.777,274.7633
29,242.2924,247.6527,256.1653,265.0562,273.4349,280.5954,284.7262
30,250.7705,256.3184,265.1288,274.3308,283.0027,290.4137,294.6891
31,259.2486,264.9841,274.0923,283.6055,292.5705,300.2321,304.652
32,267.7267,273.6497,283.0559,292.8801,302.1383,310.0505,314.6149
33,276.2048,282.3154,292.0194,302.1547,311.7061,319.8688,324.5778
34,284.6829,290.981,300.9829,311.4293,321.2739,329.6872,334.5407
35,293.161,299.6467,309.9464,320.704,330.8417,339.5055,344.5036
36,301.6391,308.3124,318.91,329.9786,340.4095,349.3239,354.4665
37,310.1172,316.978,327.8735,339.2532,349.9773,359.1423,364.4294
38,318.5952,325.6437,336.837,348.5278,359.5451,368.9606,374.3923
39,327.0733,334.3093,345.8005,357.8025,369.1129,378.779,384.3552
40,335.5514,342.975,354.7641,367.0771,378.6807,388.5973,394.3181
