GA,P_5,P_10,P_25,P_50,P_75,P_90,P_95
15,92.2541,94.5831,98.3465,102.3588,106.2132,109.5614,111.515
16,101.7521,104.3209,108.4717,112.8971,117.1484,120.8413,122.996
17,111.2501,114.0587,118.597,123.4355,128.0835,132.1212,134.477
18,120.7481,123.7965,128.7222,133.9738,139.0187,143.401,145.958
19,130.2461,133.5342,138.8474,144.5121,149.9538,154.6809,157.439
20,139.7441,143.272,148.9727,155.0504,160.8889,165.9607,168.92
21,149.2421,153.0098,159.0979,165.5887,171.8241,177.2406,180.401
22,158.7401,162.7476,169.2231,176.1271,182.7592,188.5205,191.882
23,168.2381,172.4853,179.3484,186.6654,193.6944,199.8003,203.363
24,177.7361,182.2231,189.4736,197.2037,204.6295,211.0802,214.844
25,187.2341,191.9609,199.5988,207.742,215.5647,222.3601,226.325
26,196.7321,201.6987,209.7241,218.2803,226.4998,233.6399,237.806
27,206.2301,211.4365,219.8493,228.8187,237.435,244.9198,249.287
28,215.7281,221.1742,229.9745,239.357,248.3701,256.1997,260.768
29,225.2261,230.912,240.0998,249.8953,259.3053,267.4795,272.249
30,234.7241,240.6498,250.225,260.4336,270.2404,278.7594,283.73
31,244.2221,250.3876,260.3502,270.9719,281.1756,290.0393,295.211
32,253.7201,260.1253,270.4755,281.5103,292.1107,301.3191,306.692
33,263.2181,269.8631,280.6007,292.0486,303.0459,312.599,318.173
34,272.7161,279.6009,290.7259,302.5869,313.981,323.8788,329.654
35,282.2141,289.3387,300.8512,313.1252,324.9162,335.1587,341.135
36,291.7121,299.0765,310.9764,323.6635,335.8513,346.4386,352.616
37,301.2101,308.8142,321.1016,334.2019,346.7865,357.7184,364.097
38,310.7081,318.552,331.2269,344.7402,357.7216,368.9983,375.578
39,320.2061,328.2898,341.3521,355.2785,368.6568,380.2782,387.059
40,329.7041,338.0276,351.4773,365.8168,379.5919,391.558,398.54
