GA,P_5,P_10,P_25,P_50,P_75,P_90,P_95
15,32.794,33.5203,34.7184,36.0283,37.3171,38.4603,39.1371
16,35.1445,35.9228,37.2069,38.6106,39.9918,41.2169,41.9423
17,37.495,38.3254,39.6953,41.1929,42.6665,43.9735,44.7474
18,39.8455,40.728,42.1838,43.7753,45.3412,46.7302,47.5526
19,42.196,43.1305,44.6722,46.3576,48.0159,49.4868,50.3577
20,44.5465,45.5331,47.1606,48.9399,50.6906,52.2434,53.1629
21,46.897,47.9356,49.6491,51.5222,53.3653,55.0001,55.968
22,49.2475,50.3382,52.1375,54.1045,56.04,57.7567,58.7732
23,51.598,52.7408,54.6259,56.6869,58.7147,60.5133,61.5783
24,53.9485,55.1433,57.1144,59.2692,61.3894,63.2699,64.3834
25,56.299,57.5459,59.6028,61.8515,64.0641,66.0266,67.1886
26,58.6495,59.9484,62.0912,64.4338,66.7388,68.7832,69.9937
27,61,62.351,64.5797,67.0161,69.4135,71.5398,72.7989
28,63.3505,64.7535,67.0681,69.5984,72.0882,74.2965,75.604
29,65.701,67.1561,69.5565,72.1808,74.7629,77.0531,78.4092
30,68.0515,69.5587,72.045,74.7631,77.4376,79.8097,81.2143
31,70.402,71.9612,74.5334,77.3454,80.1123,82.5663,84.0195
32,72.7525,74.3638,77.0218,79.9277,82.787,85.323,86.8246
33,75.103,76.7663,79.5103,82.51,85.4617,88.0796,89.6297
34,77.4535,79.1689,81.9987,85.0924,88.1363,90.8362,92.4349
35,79.804,81.5714,84.4871,87.6747,90.811,93.5929,95.24
36,82.1545,83.974,86.9756,90.257,93.4857,96.3495,98.0452
37,84.505,86.3766,89.464,92.8393,96.1604,99.1061,100.8503
38,86.8555,88.7791,91.9524,95.4216,98.8351,101.8627,103.6555
39,89.206,91.1817,94.4409,98.004,101.5098,104.6194,106.4606
40,91.5565,93.5842,96.9293,100.5863,104.1845,107.376,109.2657
